                     Force(x),                      Force(y),                      Force(z),                    Force(Net),                   Velocity(x),                   Velocity(y),                   Velocity(z),                 Velocity(Net),                   Position(x),                   Position(y),                   Position(z),                          Time,
         3.682767538453085e-13         1.3627057750951312e-09          3.682767604395741e-13         1.8569673007331617e-18             45.000000795822665              45.00040010707832          7.958234022757445e-07             4050.0360814211754             1621.6216466642213              1621.633360813083         2.5042624044379026e-05              71.07107107107107
        3.6827877181836995e-13         1.3627073237876852e-09         3.6827877841270903e-13         1.8569715215631075e-18              45.00000059084342              45.00026133195752          5.908439654488876e-07             4050.0235731203798             1621.6216399583327             1621.6286418034078         1.8336728912837548e-05              72.07207207207207
        3.3154228368656215e-13         1.2959863779500487e-09          3.315422890088507e-13         1.6795809116726619e-18             45.000000796191316             45.000401471149715           7.96192049701583e-07             4050.0362042218726             1666.6666925060701             1666.6788070484324          2.583942857489821e-05              73.07307307307308
        3.3154410980663467e-13         1.2959878721225961e-09          3.315441151289828e-13         1.6795847845318517e-18             45.000000591175294              45.00026262924118          5.911758396120596e-07              4050.023689906457             1666.6666855949786              1666.673949091295         1.8928330416872058e-05              74.07407407407408
        2.9922293740496136e-13         1.2339068121056906e-09         2.9922294172337887e-13         1.5225262000295633e-18              45.00000079652319             45.000402768434874          7.965239256927031e-07             4050.0363210084492             1711.7117383482696              1711.724254615792         2.6636583717738194e-05              75.07507507507508
        2.9922459345001065e-13         1.2339082537457162e-09          2.992245977684766e-13           1.52252975773252e-18             45.000000591474816              45.00026386438313          5.914753620762472e-07               4050.02380109684             1711.7117312319406             1711.7192576466625         1.9520247935234575e-05              76.07607607607608
         2.707049453894895e-13         1.1760595538059199e-09          2.707049489111314e-13          1.383116220660516e-18              45.00000079682271              45.00040400357827          7.968234498145935e-07              4050.036432199308              1756.756784190785             1756.7697034506334         2.7434054876650755e-05              77.07707707707708
         2.707064503144134e-13         1.1760609449155618e-09         2.7070645383609496e-13         1.3831194927196504e-18              45.00000059174579              45.00026504161992          5.917463380010832e-07              4050.023907073162             1756.7567768691881             1756.7645674094267          2.011245098832633e-05              78.07807807807808
        2.4547043172348574e-13         1.1220794221633199e-09         2.4547043460928034e-13          1.259062350153837e-18              45.00000079709369              45.00040518081645          7.970944272458608e-07             4050.0365381760853             1801.8018300335862              1801.815153492873          2.823181157187621e-05              79.07907907907908
         2.454718020639919e-13         1.1220807647344464e-09         2.4547180494981914e-13         1.2590653630998528e-18               45.0000005919915              45.00026616482254          5.919920541518432e-07             4050.0240081841084             1801.8018225066942              1801.809878323562         2.0704912646060528e-05              80.08008008008008
